program,code,company,platform,indication,nct,phase,setting,n,combo,primary_endpoint,result,immune_response,grade3_ae,discontinuation,data_cutoff,next_readout,status,why_stopped,rid,source_agent
"Intismeran autogene + pembrolizumab (KEYNOTE-942, 참조 비교군)","mRNA-4157 (intismeran autogene, V940)",Moderna (스폰서) + Merck (협업),"mRNA-LNP 개인맞춤 신생항원 치료제 (최대 34개 신생항원 concatemer, 근육주사 1 mg Q3W x 9회)",절제된 고위험 3B-4기 피부흑색종 (보조요법),NCT03897881,2b,보조 (adjuvant),157 (실제 등록 267 스크리닝 기준 등록부 표기 267; 무작위배정 157 - 병용 107 / 단독 50),펨브롤리주맙 200 mg IV Q3W x 18주기,"재발없는생존 (RFS, 연구자 판정)","1차분석(컷 2022-11-14): RFS HR 0.561 (95% CI 0.309-1.017), 양측 p=0.053 / 단측 p=0.0266, 18개월 RFS 79% 대 62%, DMFS HR 0.347 (0.145-0.828) 단측 p=0.0063, 18개월 DMFS 91.8% 대 76.8% | 3년(컷 2023-11-03, 추적중앙값 34.9개월): RFS HR 0.510 (95% CI 0.288-0.906; 80% CI 0.351-0.743), 명목 양측 p=0.019, 2.5년 RFS 74.8% 대 55.6%; DMFS HR 0.384 (95% CI 0.172-0.858), 2.5년 DMFS 89.3% 대 68.7%; OS HR 0.425 (0.114-1.584), 사망 4/107 대 5/50 | 5년(컷 2025-12-15, 계획추적중앙값 60.3개월, 범위 50.5-76.4): RFS HR 0.510 (95% CI 0.294-0.887), DMFS HR 0.411 (95% CI 0.200-0.843), OS HR 0.471 (95% CI 0.165-1.345); 4년 RFS 72.4% (62.2-80.2) 대 49.1% (33.3-63.0); 4년 DMFS 83.9% (74.1-90.3) 대 65.4% (49.1-77.6); 사망 7/107 (6.5%) 대 7/50 (14.0%)","5년 TCR 분석(병용 78 / 단독 38): 병용군에서 TCR 클론성 증가 및 신규 클론형 확장 우세, 비재발 환자에서 신규 클론 확장이 더 큼. 단 인코딩 신생항원과 클론형의 직접적 기능적 연결은 미확립. 기저 클론성 중앙값 0.134 대 0.111","3등급 이상 AE 34.6% (36/104) 대 36.0% (18/50); 3등급 이상 치료관련 AE 25% 대 18-20%; 인티스메란 관련 3등급 10.6% (11/104), 4-5등급 0건; 중대 AE 14.4% 대 10.0%; 면역매개 AE 37.5% 대 36%",3년 논문: 인티스메란 추가가 펨브롤리주맙 중단/중단·지연을 증가시키지 않음. 병용군 치료관련 AE 발생률 100% (104/104) 대 단독군 84% (42/50),2022-11-14 (1차) / 2023-11-03 (3년) / 2025-12-15 (5년),추가 장기 추적 (1차완료예정일 2032-11-30),"진행 (ACTIVE_NOT_RECRUITING, 등록 종료, 1차완료예정일 2032-11-30)",해당없음,R100,A1+A5
KEYNOTE-603 / mRNA-4157-P101 (1상 용량탐색),mRNA-4157,"ModernaTX, Inc.",mRNA-LNP 개인맞춤 신생항원 치료제 (최대 34개 신생항원),"고형암 (절제 고형암 단독요법 / 절제불가 고형암 병용요법; Part A NSCLC, Part D 피부흑색종 등)",NCT03313778,1,보조 및 진행성 혼합 (Part A/A2/B/C/D/E1/E2/E3),161 (ACTUAL),단독 및 펨브롤리주맙 200 mg 병용,이상반응 발생 환자 수 (안전성·내약성),"기전 분석(Cancer Discovery 2024, 총 16명: 절제 NSCLC 1 mg 단독 n=4, 절제 피부흑색종 1 mg + 펨브롤리주맙 n=12): 4/5등급 이상반응 및 용량제한독성 0건. 단독요법으로 표적 신생항원에 대한 de novo T세포 반응 유도 및 기존 반응 강화 일관 관찰. 병용 후 신생항원 특이 T세포 반응 지속 및 세포독성 CD8·CD4 T세포 확장 관찰",IFN-γ ELISpot으로 신생항원 특이 T세포 반응 검출 (ASCO 2019 abstract 2523). de novo 반응 유도 및 기존 반응 증폭이 기전적 개념증명,"미공개 (전체 161명 기준 등급별 분해 미공개; 기전 분석 16명에서는 4/5등급 0건, DLT 0건)",미공개,미공개,1차완료예정일 2027-11-21,"진행 (ACTIVE_NOT_RECRUITING, 2017-08-14 개시, 개시 9년째 미종료)",해당없음,R133,A1
mRNA 기반 개인맞춤 신항원 백신 (NCI 내부),NCI mRNA PCV,National Cancer Institute (NCI),mRNA 개인맞춤 신항원,전이성 고형암,NCT03480152,1,진행성,5 (ACTUAL),미공개,안전성,미공개,미공개,미공개,미공개,미공개,없음,중단(slow accrual),slow accrual,R513,A5
Nous-PEV 개인맞춤 신항원 백신,Nous-PEV,Nouscom SRL,바이러스 벡터(GAd/MVA) 개인맞춤 신항원,"NSCLC, 흑색종",NCT04990479,1,진행성,7 (ACTUAL),pembrolizumab,안전성/내약성,미공개,미공개,미공개,미공개,미공개,없음,중단(Terminated by Sponsor),Terminated by Sponsor; 회사는 이후 off-the-shelf MSI 공유항원 백신(NOUS-209)으로 전환,R509,A5
"VB10.16 (자궁경부암 2상, VB-C-04)",VB10.16 / abipapogene suvaplasmid,"Nykode Therapeutics ASA (Roche Pharma AG, GOG Foundation 협력)",(3) TAA 백신 - HPV16 E6/E7 표적 DNA 플라스미드. 개인맞춤형 아님,HPV16+ PD-L1+ 재발/전이성 자궁경부암 (pembrolizumab+화학요법 불응),NCT06099418,2상 (무작위 이중맹검 위약대조),재발/전이성 후속 치료,0 (ACTUAL),atezolizumab 또는 위약,객관적 반응률(ORR),해당없음 (등록 0명),해당없음,해당없음,해당없음,해당없음,해당없음,중단(WITHDRAWN),'회사 전략적 이유 및 재발/전이 자궁경부암 표준치료의 최근 변화' — SOC 이동에 추월당한 사례,R330,A3
NeoTCR-P1 (유전자편집 신항원 표적 TCR-T),NeoTCR-P1,"PACT Pharma, Inc.","비바이러스 CRISPR 정밀 TCR 치환, 개인맞춤 신항원",고형암 (다중),NCT03970382,1,진행성,21 (ACTUAL),anti-PD-1 유무,안전성,임상반응 미미 (Nature 2022 보고 기준 대부분 SD),미공개,미공개,미공개,미공개,없음,"중단(SUSPENDED, Business decision)",Business decision; 회사는 2022년 94명 감원 후 공유 신항원으로 전환,R508,A5
개인맞춤 신항원 백신 (IVAC 플랫폼) 신세포암,IVAC-RCC-001,SLK Kliniken Heilbronn GmbH (BioNTech IVAC 플랫폼),mRNA 개인맞춤 신항원,진행성/전이성 신세포암,NCT05641545,1,"진행성, ICI 병용 add-on",1 (ACTUAL),표준 면역관문억제제,안전성/실행가능성,해당 없음,해당 없음,해당 없음,해당 없음,해당 없음,없음,중단(등록 부진),Premature discontinuation due to poor participant recruitment,R515,A5
SW1115C3 / Stemirna 개인맞춤형 mRNA 신항원,SW1115C3,Stemirna Therapeutics (斯微生物),"(1) 개인맞춤형 신항원 - mRNA, 리포폴리플렉스(LPP) 전달체","진행성 식도암/NSCLC (NCT03908671), 진행성 고형암 (NCT05198752, NCT05949775)",NCT03908671,1상 / NA,진행성,24 / 30 / 20 (ESTIMATED),미공개,미공개,미공개,미공개,미공개,미공개,미공개,해당없음,중단(회사 파산청산; 등록정보 3건 모두 UNKNOWN 상태로 2년 이상 미갱신),"2024-09-20 상하이 푸둥신구 인민법원이 파산청산 신청 수리, 2025-04-30 기준 채권 131건 8억1,628만 위안. 업계 매체는 2024년 3월 SW1115C3 개발 중단 보도(신뢰도 하)",R341,A3
개인맞춤 신항원 백신 (비메틸화 교모세포종),WashU GBM PCV,Washington University School of Medicine,개인맞춤 펩타이드 백신 + ICI,신규 진단 비메틸화 교모세포종,NCT03422094,1,신규 진단,3 (ACTUAL),면역관문억제제,안전성,미공개,미공개,미공개,미공개,미공개,없음,중단(제조사가 세포치료로 방향 전환),Manufacturer changed focus to cell therapy,R512,A5
개인맞춤 신항원 백신 (여포성 림프종),WashU FL PCV,Washington University School of Medicine,개인맞춤 펩타이드 백신,여포성 림프종,NCT03121677,1,PD-1 병용,4 (ACTUAL),PD-1 차단제,안전성,미공개,미공개,미공개,미공개,미공개,없음,중단(백신 제조 중단),Vaccine manufacturing has been suspended,R512,A5
신항원 DNA 백신 (췌장암 보조요법),WashU PDAC DNA,Washington University School of Medicine,개인맞춤 신항원 DNA 백신,절제 후 췌장암,NCT03122106,1,보조요법,15 (ACTUAL),보조 항암화학요법 후,안전성/실행가능성,미공개,미공개,미공개,미공개,미공개,없음,중단(Loss of funding),Loss of funding,R512,A5
신항원 DNA 백신 ± durvalumab (TNBC),WashU TNBC DNA,Washington University School of Medicine,개인맞춤 신항원 DNA 백신,삼중음성유방암,NCT03199040,1,표준요법 후,18 (ACTUAL),durvalumab,안전성,"면역반응 유도는 보고됨(medRxiv/논문), 임상 이익 미확인",신항원 특이 반응 유도 보고,미공개,미공개,미공개,없음,중단(약물/장비 미공급 및 자금 부족),Drugs/equipment unavailable and insufficient funding,R512,A5
셀리드 코로나19 백신 2상,AdCLD-CoV19-1,셀리드 (Cellid),아데노바이러스 벡터 (mRNA 아님),COVID-19 예방,NCT05520970,2상,예방,미공개,단독,미공개,미공개,미공개,미공개,미공개,2026-08-06,해당없음,중단(TERMINATED),Study early terminated based on the sponsor(manufacture)'s decision (레지스트리 원문),R450,A4
AST-301 유방암 치료백신,AST-301 (pNGVL3-hICD),애스톤사이언스 (Aston Sci.),"플라스미드 DNA 백신 (HER2 ICD 공유항원, 개인맞춤 아님)",HER2 저발현 유방암,NCT05163223,2상,치료,10 (종료 시점 등록),미공개,미공개,미공개 (조기종료로 결과 미산출),미공개,미공개,미공개,2026-08-06,해당없음,중단(환자 모집 곤란),Difficulty in recruiting patients (레지스트리 whyStopped 원문),R405,A4
에스티팜 코로나19 mRNA 백신 (SmartCap 임상 검증 자산),STP2104,에스티팜,mRNA-LNP (자체 SmartCap 5'캡핑 + STLNP),COVID-19 예방,미공개,1상 완료,예방,미공개 (25μg·50μg 코호트),단독,안전성·면역원성,"2차 접종 후 중화항체 기저 대비 20.8~24.3배 상승, 중대한 이상반응·사망 없음",중화항체 20.8~24.3배 상승,중대한 이상반응 보고 없음 (등급별 수치 미공개),미공개,2024-10-07,해당없음,"중단(엔데믹 수요 감소로 후속 임상 중단, JN.1 변이 백신으로 전환)",엔데믹 전환에 따른 코로나19 백신 수요 감소 (회사 설명),R446,A4
에스티팜-테라젠바이오 신항원 mRNA 항암백신 공동개발(MOU),미공개,에스티팜 + 테라젠바이오,AI 신항원 예측 + 5'캡핑(SmartCap) + LNP(STLNP) mRNA-LNP,미공개,미등록,MOU 단계 (임상 미진입),치료,미공개,미공개,미공개,미공개,미공개,미공개,미공개,2026-08-06,미공개,중단 또는 정체 (2021년 MOU 후 5년간 IND·CT.gov 등록 없음; 2025년 PAVE 국책과제로 재편),공식 중단 발표 없음. 2022-09 '2023년 1상 진입' 목표 대비 3년 이상 미달성,R417,A4
GLS-1200 코로나19 예방,GLS-1200,진원생명과학(GeneOne Life Science),국소 비강 스프레이 (핵산 아님),SARS-CoV-2 감염 예방,NCT04408183,2상,예방,미공개,미공개,미공개,미공개,미공개,미공개,미공개,2026-08-06,해당없음,중단(TERMINATED),No longer enrolling (레지스트리 whyStopped 원문),R451,A4
큐라티스 코로나19 mRNA 백신 (국내 최초 mRNA 백신),QTP104,큐라티스 (코스닥 348080),mRNA-LNP,COVID-19 예방,미등록(CT.gov),1상 완료,예방,미공개,단독,안전성·내약성,"미공개 (1상 종료보고서 2025-01-20 완료, 수치 미공개)",미공개,미공개,미공개,2026-05-14 (분기보고서),미공개,"중단(후속 임상 미확인, 사실상 정체)","공식 중단 공시 없음. 2023-07-26 1상 종료 후 후속 임상 미확인, 2026년 1분기 매출 전년비 99.3% 감소",R449,A4
