nct,title,status,why_stopped,phase,enrollment,enrollment_type,allocation,masking,purpose,start,primary_completion,completion,first_posted,last_update,sponsor,collaborators,conditions,interventions,primary_outcome,countries,has_korea
NCT07676890,"A Single-Arm, Open-Label, Prospective Study Evaluating the Safety, Tolerability, and Immunogenicity of the NeoOVIV Vaccine in Patients With Ovarian Cancer After Surgery",NOT_YET_RECRUITING,,PHASE1,9,ESTIMATED,NA,NONE,TREATMENT,2026-07-31,2028-05-30,2028-05-30,2026-06-30,2026-06-30,West China Hospital,,Ovarian Cancer; mRNA Vaccine,Low Dose NeoOVIV; Medium dose NeoOVIV; High dose NeoOVIV,Incidence of Treatment-Emergent Adverse Events Assessed by CTCAE Version 5.0,,
NCT07678138,"Exploratory Clinical Study to Evaluate the Safety, Tolerability and Preliminary Efficacy of Tumor Neoantigen-pulsed Autologous Dendritic Cell Injection (YS247, Beijing YSCell Biotech Co., Ltd. [Abbreviated as YS])in Patients With Recurrent or Progressive Glioblastoma",NOT_YET_RECRUITING,,NA,9,ESTIMATED,NA,NONE,TREATMENT,2026-06-30,2027-11-30,2028-05-30,2026-07-01,2026-07-01,Huanhu Hospital Affiliated to Tianjin Medical University,,Glioblastoma,Neoantigen DC Vaccine (YS247) for Glioblastoma,Safety and Treatment Tolerability; Maximum Tolerated Dose (MTD) and Recommended Expanded Dose(RP2D),,
NCT07683832,"Safety, Tolerability, Immunogenicity, Pharmacodynamic Characteristics, and Preliminary Anti-tumor Activity of Personalized Cancer Vaccines Alone and in Combination With Toripalimab in Participants With Resected NSCLC",NOT_YET_RECRUITING,,EARLY_PHASE1,50,ESTIMATED,NON_RANDOMIZED,NONE,TREATMENT,2026-07-28,2028-12-31,2031-04-17,2026-07-06,2026-07-06,The Affiliated Nanjing Drum Tower Hospital of Nanjing University Medical School,"Suzhou Abogen Biosciences Co., Ltd.",Non-Small Cell Lung Cancer NSCLC,ABO2109 and toripalimab,"Incidence and nature of dose-limiting toxicity (DLT) with ABO2109 monotherapy（Dose Exploration); Incidence and severity of TEAE, TESAE, and TEAE leading to study treatment interruption or premature discontinuation following study treatment（Dose Exploration); Changes in ECOG performance status score（Dose Exploration); DFS based on RECIST Version 1.1 (Dose Expansion)",,
NCT07686744,Neoantigen Peptide Vaccine Plus Pembrolizumab in Renal Cell Carcinoma,NOT_YET_RECRUITING,,PHASE1,8,ESTIMATED,NA,NONE,TREATMENT,2026-09-01,2029-01-01,2029-09-01,2026-07-07,2026-07-07,Jian Lin,,Renal Cell Carcinoma; Advanced; Recurrent; Refractory,Personalized Neoantigen Polyepitope Peptide Vaccine,Incidence and severity of treatment-emergent adverse events (TEAE),China,
NCT07695311,EWSR1 Immunotherapy in Ewing Sarcoma and DSRCT,NOT_YET_RECRUITING,,PHASE1,24,ESTIMATED,NON_RANDOMIZED,NONE,TREATMENT,2026-10,2029-10,2030-07,2026-07-10,2026-07-16,Rabi Hanna,The Little Warriors Foundation,Ewing Sarcoma; Desmoplastic Small Round Cell Tumor,EWSR1 immunotherapy; Botensilimab; Balstilimab,"Safety of EWSR1 immunotherapy, measured by number of participants with grade 4 immunotherapy-related adverse events; Safety of combination therapy (EWSR1 immunotherapy + botensilimab + balstilimab), measured by number of participants with grade 3 drug related adverse events lasting greater than 1 week; Feasibility of EWSR1 immunotherapy monotherapy, measured by proportion of participants who recei",United States,
NCT07712692,Evaluation of NWRD09 for HPV-16 Related Cervical HSIL,NOT_YET_RECRUITING,,PHASE2,156,ESTIMATED,RANDOMIZED,QUADRUPLE,TREATMENT,2026-08-01,2027-06-30,2027-12-30,2026-07-17,2026-07-17,"Newish Biotech (Wuxi) Co., Ltd.",,High-grade Squamous Intraepithelial Lesion (HSIL),NWRD09 Injection; NWRD09 Placebo,Proportion of Participants with Histopathological Regression of Cervical Lesions to non-HSIL (LSIL/CIN1 or no lesion) at week 24.,China,
NCT07722741,Personalized Neoantigen Vaccine Plus IL-12 (INO-9012) Versus Active Surveillance in Subjects With High-Risk HCC,NOT_YET_RECRUITING,,PHASE2,90,ESTIMATED,RANDOMIZED,NONE,TREATMENT,2026-09,2029-09,2032-06,2026-07-23,2026-07-28,Geneos Therapeutics,,HCC,"GNOS-PV02 + INO-9012 delivered by intradermal injection, followed by electroporation; Electroporation Device; INO-9012",Recurrence-free survival,United States,
NCT07724106,"A Single-Arm, Open-Label, Prospective Study Evaluating the Safety, Tolerability, and Immunogenicity of the NeoOVSV Vaccine in Patients With Ovarian Cancer After Surgery",NOT_YET_RECRUITING,,PHASE1,9,ESTIMATED,NA,NONE,TREATMENT,2026-07-31,2028-05-01,2028-05-01,2026-07-23,2026-07-23,West China Hospital,,Ovarian Cancer; mRNA Vaccine,Low Dose; middle dose; high dose,safety assessment,,
NCT07745790,"Safety and Efficacy of Multimodal Thermal Therapy (MTT) Combined With KRAS G12V mRNA Vaccine, S-1, and Sintilimab in Patients With Metastatic Pancreatic Cancer",NOT_YET_RECRUITING,,PHASE2,20,ESTIMATED,NA,NONE,TREATMENT,2026-07-13,2029-07-31,2029-07-31,2026-08-04,2026-08-04,Ruijin Hospital,,Pancreatic Ductal Adenocarcinoma; Liver Neoplasms; Lung Neoplasms,Multimodal Thermal Therapy (MTT) System; KRAS G12V mRNA Vaccine; Sintilimab; S-1,Incidence and Severity of Adverse Events (CTCAE v6.0); Frequency of Dose Modifications and Treatment Discontinuations,China,
NCT03914872,Expanded Access Neoantigen Vaccine in Solid Tumors,NO_LONGER_AVAILABLE,,,,,,,,,,,2019-04-16,2024-03-12,Washington University School of Medicine,,"Solid Tumor, Adult",Neoantigen DNA Vaccine; Integrated electroporation device,,United States,
NCT07083479,Expanded Access Protocol of ELI-002-102 in Subjects With KRAS/NRAS Mutated Pancreatic Ductal Adenocarcinoma,NO_LONGER_AVAILABLE,,,,,,,,,,,2025-07-24,2026-07-10,Elicio Therapeutics,,Pancreatic Ductal Adenocarcinoma; KRAS G12D; KRAS G12V; KRAS G12S; KRAS G12A; KRAS G12C; KRAS G12R; KRAS G13D; NRAS G12D; NRAS G12V; NRAS G12S; NRAS G12A; NRAS G12C; NRAS G12R; NRAS G13D,ELI-002 7P,,,
NCT07560709,Single-Patient Expanded Access Protocol - RNA-LP in a Patient With Recurrent Osteosarcoma,NO_LONGER_AVAILABLE,,,,,,,,,,,2026-05-01,2026-05-01,University of Florida,,Recurrent Osteosarcoma,pp65/tumor mRNA RNA-LP,,United States,
NCT03219450,"A Personalized Neoantigen Cancer Vaccine in Treatment Naïve, Asymptomatic Patients With IGHV Unmutated CLL.",RECRUITING,,PHASE1,15,ESTIMATED,NON_RANDOMIZED,NONE,TREATMENT,2021-08-18,2027-07-31,2028-07-31,2017-07-17,2026-05-28,Dana-Farber Cancer Institute,"Oncovir, Inc.; BioNTech SE; Merck Sharp & Dohme LLC",Lymphocytic Leukemia,NeoVax; Cyclophosphamide; Pembrolizumab,Feasibility of neoantigen identification; Feasibility of vaccine generation; Safety of NeoVax,United States,
NCT03578185,Genomic Analysis to Identify a Predictive Biomarker for Immunotherapy,RECRUITING,,,800,ESTIMATED,,,,2018-04-11,2020-12-31,2025-12-31,2018-07-06,2024-12-03,Se-Hoon Lee,,Lung Cancer,,List of biomarkers,South Korea,Y
NCT03606967,Testing the Addition of an Individualized Vaccine to Durvalumab and Tremelimumab and Chemotherapy in Patients With Metastatic Triple Negative Breast Cancer,RECRUITING,,PHASE2,86,ESTIMATED,RANDOMIZED,DOUBLE,TREATMENT,2021-04-13,2026-12-30,2026-12-30,2018-07-31,2026-07-31,National Cancer Institute (NCI),,Anatomic Stage IV Breast Cancer AJCC v8; Invasive Breast Carcinoma; Metastatic Triple-Negative Breast Carcinoma,Biopsy Procedure; Biospecimen Collection; Carboplatin; Computed Tomography; Durvalumab; Gemcitabine Hydrochloride; Magnetic Resonance Imaging; Nab-paclitaxel; Personalized Synthetic Long Peptide Vaccine; Poly ICLC; Sacituzumab Govitecan; Tremelimumab,Progression-free survival (PFS),United States,
NCT03804944,Converting HR+ Breast Cancer Into an Individualized Vaccine,RECRUITING,,PHASE2,100,ESTIMATED,RANDOMIZED,NONE,TREATMENT,2020-03-17,2026-12-31,2027-12-31,2019-01-15,2026-01-28,Weill Medical College of Cornell University,United States Department of Defense; Merck Sharp & Dohme LLC; Celldex Therapeutics,Breast Cancer,Focal Radiation therapy; Pembrolizumab (200mg IV for 30 minutes; CDX-301,"Tolerability will be demonstrated if no grade 3 or higher toxicities are observed in the first 8 patients, of each arm.; Clinical response rate to tumor radiation +/-immunotherapy during standard endocrine therapy for HR+ breast cancer will be measured.; Pathological response rate to tumor radiation +/-immunotherapy during standard endocrine therapy for HR+ breast cancer will be measured.",United States,
NCT03988283,Neoepitope-based Personalized DNA Vaccine Approach in Pediatric Patients With Recurrent Central Nervous System Tumors,RECRUITING,,PHASE1,7,ESTIMATED,NA,NONE,TREATMENT,2024-10-02,2029-03-31,2031-02-28,2019-06-17,2026-05-07,Washington University School of Medicine,Children's Discovery Institute,Pediatric Recurrent Central Nervous System Tumors,Personalized neoantigen DNA vaccine; Papivax Biotech TDS-IM v2.0; Peripheral blood draw,Safety and tolerability of adjuvant personalized neoantigen DNA vaccine as measured by the number of grade 3 and 4 adverse events; Feasibility of adjuvant personalized neoantigen DNA vaccine as measured the number of participants that had a neoantigen-specific DNA vaccine generated,United States,
NCT04147078,Personalized DC Vaccine for Postoperative Cancer,RECRUITING,,PHASE1,80,ESTIMATED,NA,NONE,TREATMENT,2019-06-01,2025-12-31,2026-06-01,2019-10-31,2025-02-28,Sichuan University,,Gastric Cancer; Hepatocellular Carcinoma; Non-Small-Cell Lung Cancer; Colon Rectal Cancer,DC vaccine subcutaneous administration,Disease-free Survival (DFS),China,
NCT04157127,Th-1 Dendritic Cell Immunotherapy Plus Standard Chemotherapy for Pancreatic Adenocarcinoma,RECRUITING,,PHASE1,18,ESTIMATED,NON_RANDOMIZED,NONE,TREATMENT,2020-08-03,2026-06,2027-12,2019-11-08,2025-05-25,Diakonos Oncology Corporation,Baylor College of Medicine,Pancreatic Adenocarcinoma; Pancreatic Cancer; Pancreatic Adenosquamous Carcinoma,Autologous DC Therapy,Safety of DC Therapy; Number of participants who experienced Dose Limiting Toxicities (DLTs),United States,
NCT04248569,DNAJB1-PRKACA Fusion Kinase Peptide Vaccine Combined With Nivolumab and Ipilimumab for Patients With Fibrolamellar Hepatocellular Carcinoma,RECRUITING,,PHASE1,56,ESTIMATED,NON_RANDOMIZED,NONE,TREATMENT,2020-04-20,2029-03-01,2034-03-01,2020-01-30,2025-12-03,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Fibrolamellar Cancer Foundation,Fibrolamellar Hepatocellular Carcinoma (FLC),DNAJB1-PRKACA peptide vaccine; Nivolumab; Ipilimumab,All Cohorts: Number of participants experiencing study drug-related toxicities; All Cohorts: Fold change in interferon-producing DNAJB1-PRKACA-specific CD4 and CD8 T cells at 10 weeks; Cohort A only: Progression-free survival (PFS),United States,
NCT04534205,"A Clinical Trial Investigating the Safety, Tolerability, and Therapeutic Effects of BNT113 in Combination With Pembrolizumab Versus Pembrolizumab Alone for Patients With a Form of Head and Neck Cancer Positive for Human Papilloma Virus 16 and Expressing the Protein PD-L1",RECRUITING,,"PHASE2,PHASE3",350,ESTIMATED,RANDOMIZED,NONE,TREATMENT,2021-01-07,2029-04,2029-04,2020-09-01,2026-07-21,BioNTech SE,,Unresectable Head and Neck Squamous Cell Carcinoma; Metastatic Head and Neck Cancer; Recurrent Head and Neck Cancer,BNT113; Pembrolizumab,Part A - Occurrence of treatment-emergent adverse event (TEAE) - BNT113 in combination with pembrolizumab; Part B - Overall survival (OS); Part B - Progression-free survival (PFS),Argentina; Australia; Austria; Belgium; Brazil; Canada; Chile; Czechia; France; Germany; Hungary; Israel; Italy; Mexico; Poland; Portugal; South Korea; Spain; Sweden; Taiwan; Turkey (Türkiye); United Kingdom; United States,Y
NCT04573140,A Study of RNA-lipid Particle (RNA-LP) Vaccines for Newly Diagnosed Pediatric High-Grade Gliomas (pHGG) and Adult Glioblastoma (GBM),RECRUITING,,PHASE1,28,ESTIMATED,NON_RANDOMIZED,NONE,TREATMENT,2021-12-13,2027-07-01,2029-07-01,2020-10-05,2026-06-25,University of Florida,"Pediatric Neuro-Oncology Consortium; University of California, San Francisco; CureSearch; Team Jack Foundation; Florida Department of Health; Food and Drug Administration (FDA)",Adult Glioblastoma; High Grade Glioma; WHO Grade III or IV Malignant Glioma,"Autologous total tumor mRNA and pp65 full length (fl) lysosomal associated membrane protein (LAMP) mRNA loaded DOTAP liposome vaccine administered intravenously (RNA loaded lipid particles, RNA-LPs)",Manufacturing feasibility; Safety of RNA-LP vaccine; Determination of Maximum Tolerated Dose,United States,
NCT04837547,PEACH TRIAL- Precision Medicine and Adoptive Cellular Therapy,RECRUITING,,PHASE1,24,ESTIMATED,NON_RANDOMIZED,NONE,TREATMENT,2021-09-20,2027-09,2032-09,2021-04-08,2026-07-01,University of Florida,Beat Childhood Cancer Research Consortium,Neuroblastoma; Diffuse Intrinsic Pontine Glioma,Tumor-specific ex vivo expanded autologous lymphocyte transfer (TTRNA-xALT),Number of Participants with Dose Limiting Toxicities as a Measure of Safety and Tolerability,United States,
NCT04912765,Neoantigen Dendritic Cell Vaccine and Nivolumab in HCC and Liver Metastases From CRC,RECRUITING,,PHASE2,60,ESTIMATED,NA,NONE,TREATMENT,2021-04-15,2026-12,2027-06,2021-06-03,2026-07-31,"National Cancer Centre, Singapore",Bristol-Myers Squibb,Hepatocellular Carcinoma; Hepatocellular Cancer; Colorectal Cancer; Colorectal Carcinoma; Liver Metastases,Neoantigen Dendritic Cell Vaccine; Nivolumab,24-month Relapse Free Survival; Induced immune response against vaccinated NAs,Singapore,
NCT04943848,rHSC-DIPGVax Plus Checkpoint Blockade for the Treatment of Newly Diagnosed DIPG and DMG,RECRUITING,,PHASE1,36,ESTIMATED,NON_RANDOMIZED,NONE,TREATMENT,2022-01-10,2026-09,2027-09,2021-06-29,2026-03-17,Ann & Robert H Lurie Children's Hospital of Chicago,Dana-Farber Cancer Institute; Children's Hospital of Orange County; University of Calgary,"Diffuse Intrinsic Pontine Glioma; Diffuse Midline Glioma, H3 K27M-Mutant",rHSC-DIPGVax; Balstilimab; Zalifrelimab,Safety and Tolerability: Dose limiting toxicities of rHSC-DIPGVax; Safety and Tolerability: Dose limiting toxicities of rHSC-DIPGVax plus BALSTILIMAB; Safety and Tolerability: Dose limiting toxicities of rHSC-DIPGVax plus BALSTILIMAB and ZALIFRELIMAB,United States,
NCT04977791,Analysis of Drug Resistance in Immune Checkpoint Inhibitors of Non-small Cell Lung Cancer,RECRUITING,,,250,ESTIMATED,,,,2016-07-21,2026-12-01,2028-12-31,2021-07-27,2025-05-22,Shanghai Chest Hospital,,Non-Small Cell Lung Cancer,Anti-PD-1/PD-L1 monoclonal antibody,Objective response rate (ORR); Progression-free survival (PFS),China,
NCT05013216,Mutant KRAS -Targeted Long Peptide Vaccine for Patients at High Risk of Developing Pancreatic Cancer,RECRUITING,,PHASE1,37,ESTIMATED,NON_RANDOMIZED,NONE,PREVENTION,2022-04-11,2027-10-01,2031-05-01,2021-08-19,2026-06-30,Sidney Kimmel Comprehensive Cancer Center at Johns Hopkins,Stand Up To Cancer; National Cancer Institute (NCI),High Risk Cancer; Pancreatic Cancer,Cohort A: Patients at high risk of developing pancreatic cancer.; Cohort B: Patients must have evidence of a pancreatic cystic neoplasm,Number of participants experiencing study drug-related toxicities; Maximal percentage of change of interferon (IFN-γ) producing mutant-KRAS-specific CD8 and CD4 T cells,United States,
NCT05098210,"Personalized Neo-Antigen Peptide Vaccine for the Treatment of Stage IIIC-IV Melanoma, Hormone Receptor Positive HER2 Negative Metastatic Refractory Breast Cancer or Stage III-IV Non-Small Cell Lung Cancer",RECRUITING,,PHASE1,28,ESTIMATED,NA,NONE,TREATMENT,2022-06-09,2027-11-01,2028-11-01,2021-10-28,2026-07-22,Fred Hutchinson Cancer Center,"Amazon, Inc.",Anatomic Stage IV Breast Cancer AJCC v8; Clinical Stage IV Cutaneous Melanoma AJCC v8; Locally Advanced Cutaneous Melanoma; Locally Advanced Mucosal Melanoma; Metastatic Acral Melanoma; Metastatic Conjunctival Melanoma; Metastatic Cutaneous Melanoma; Metastatic HER2-Negative Breast Carcinoma; Metastatic Hormone Receptor-Positive Breast Carcinoma; Metastatic Lung Non-Small Cell Carcinoma; Metastatic Malignant Solid Neoplasm; Metastatic Mucosal Melanoma; Pathologic Stage IIIC Cutaneous Melanoma AJCC v8; Pathologic Stage IIID Cutaneous Melanoma AJCC v8; Recurrent Cutaneous Melanoma; Recurrent HER2-Negative Breast Carcinoma; Recurrent Hormone Receptor-Positive Breast Carcinoma; Recurrent Lung Non-Small Cell Carcinoma; Recurrent Mucosal Melanoma; Stage III Lung Cancer AJCC v8; Stage IV Lung Cancer AJCC v8; Unresectable Acral Melanoma; Unresectable Cutaneous Melanoma; Unresectable Lung Non-Small Cell Carcinoma; Unresectable Mucosal Melanoma,Neoantigen Peptide Vaccine; Nivolumab; Poly ICLC; Echocardiography Test; Multigated Acquisition Scan; Biopsy Procedure; Biospecimen Collection; Computed Tomography; Positron Emission Tomography; Ruxolitinib,Incidence of adverse events,United States,
NCT05141474,Assessment of the Safety and Tolerability of ex Vivo Next-generation Neoantigen-selected Tumor-infiltrating Lymphocyte (TIL) Therapy in Advanced Epithelial Tumors and Immune Checkpoint Blockade (ICB) Resistant Solid Tumors,RECRUITING,,EARLY_PHASE1,10,ESTIMATED,NA,NONE,TREATMENT,2021-10-28,2027-01-01,2027-01-01,2021-12-02,2024-11-07,Vall d'Hebron Institute of Oncology,Banc de Sang i Teixits,"Epithelial Tumors, Malignant; Malignant Solid Tumor",NEXTGEN-TIL; Non-myeloablative Lymphodepletion (NMA-LD) Regimen; Interleukin-2,Incidence of Adverse Events (AE); Incidence of Serious Adverse Events (SAE); Treatment-limiting Toxicity (TLT); Incidence of alterations in clinical laboratory test results; Incidence of alterations in electrocardiogram assessment; Incidence of alterations in vital signs measurements; Incidence of physical examination findings; Assessment of performance status,Spain,
NCT05142189,"Clinical Trial Evaluating the Safety, Tolerability and Preliminary Efficacy of BNT116 Alone and in Combinations in Patients With Advanced Non-small Cell Lung Cancer",RECRUITING,,PHASE1,320,ESTIMATED,NON_RANDOMIZED,NONE,TREATMENT,2022-06-17,2030-02,2031-11,2021-12-02,2026-07-22,BioNTech SE,,Non-Small Cell Lung Cancer,BNT116; Cemiplimab; Docetaxel; Carboplatin; Paclitaxel; BNT316; anti-B7-H3 antibody conjugated to topoisomerase I inhibitor; anti-HER3 antibody conjugated to topoisomerase I inhibitor; Bispecific antibody for PD-L1 and VEGF-A; Osimertinib; ALK-inhibitor or RET-inhibitor,"Cohorts 1, 2, 3, 4, 6, 7, 8, 9, 10, 11, EGFR and ALK/RET: Occurrence of Dose-Limiting Toxicities (DLTs) During the DLT Observation Period; Cohorts 1 to 11, EGFR and ALK/RET: Occurrence of Treatment-Emergent Adverse Events (TEAEs) Reported by Relationship, Seriousness, and Grade; Cohort 6 only: Occurrence of Post-Surgical Adverse Events (AEs) Related to BNT116 and Cemiplimab; Cohort 6 only: Occurre",Australia; Germany; Hungary; Poland; Spain; Turkey (Türkiye); United Kingdom; United States,
NCT05264974,Novel RNA-lipid Particle (RNA-LP) Vaccine for Anti-PD-1 Antibody Therapy Sensitization,RECRUITING,,PHASE1,18,ESTIMATED,NA,NONE,TREATMENT,2026-03-17,2026-12,2026-12,2022-03-03,2026-07-21,University of Florida,Florida Department of Health,Melanoma; Soft Tissue Sarcoma,Autologous total tumor mRNA loaded DOTAP liposome vaccine,Maximum tolerated dose; Feasibility of treatment with RNA-NP vaccine,United States,
NCT05269381,Personalized Neoantigen Peptide-Based Vaccine in Combination With Pembrolizumab for Treatment of Advanced Solid Tumors,RECRUITING,,"PHASE1,PHASE2",132,ESTIMATED,NON_RANDOMIZED,NONE,TREATMENT,2022-03-31,2028-03-31,2028-03-31,2022-03-08,2026-06-23,Mayo Clinic,,Anatomic Stage III Breast Cancer AJCC v8; Anatomic Stage IIIA Breast Cancer AJCC v8; Anatomic Stage IIIB Breast Cancer AJCC v8; Anatomic Stage IIIC Breast Cancer AJCC v8; Anatomic Stage IV Breast Cancer AJCC v8; Clinical Stage III Cutaneous Melanoma AJCC v8; Clinical Stage III Gastric Cancer AJCC v8; Clinical Stage III Gastroesophageal Junction Adenocarcinoma AJCC v8; Clinical Stage III Merkel Cell Carcinoma AJCC v8; Clinical Stage IV Cutaneous Melanoma AJCC v8; Clinical Stage IV Gastric Cancer AJCC v8; Clinical Stage IV Gastroesophageal Junction Adenocarcinoma AJCC v8; Clinical Stage IV Merkel Cell Carcinoma AJCC v8; Clinical Stage IVA Gastric Cancer AJCC v8; Clinical Stage IVA Gastroesophageal Junction Adenocarcinoma AJCC v8; Clinical Stage IVB Gastric Cancer AJCC v8; Clinical Stage IVB Gastroesophageal Junction Adenocarcinoma AJCC v8; Locally Advanced Cervical Carcinoma; Locally Advanced Endometrial Carcinoma; Locally Advanced Gastric Adenocarcinoma; Locally Advanced Gastroesophageal Junction Adenocarcinoma; Locally Advanced Head and Neck Squamous Cell Carcinoma; Locally Advanced Hepatocellular Carcinoma; Locally Advanced Lung Non-Small Cell Carcinoma; Locally Advanced Malignant Solid Neoplasm; Locally Advanced Melanoma; Locally Advanced Merkel Cell Carcinoma; Locally Advanced Renal Cell Carcinoma; Locally Advanced Skin Squamous Cell Carcinoma; Locally Advanced Triple-Negative Breast Carcinoma; Locally Advanced Unresectable Breast Carcinoma; Locally Advanced Unresectable Cervical Carcinoma; Locally Advanced Unresectable Gastric Adenocarcinoma; Locally Advanced Unresectable Gastroesophageal Junction Adenocarcinoma; Locally Advanced Unresectable Renal Cell Carcinoma; Locally Advanced Urothelial Carcinoma; Metastatic Cervical Carcinoma; Metastatic Endometrial Carcinoma; Metastatic Gastric Adenocarcinoma; Metastatic Gastroesophageal Junction Adenocarcinoma; Metastatic Head and Neck Squamous Cell Carcinoma; Metastatic Hepatocellular Carcinoma; Metastatic Lung Non-Small Cell Carcinoma; Metastatic Malignant Solid Neoplasm; Metastatic Melanoma; Metastatic Merkel Cell Carcinoma; Metastatic Renal Cell Carcinoma; Metastatic Skin Squamous Cell Carcinoma; Metastatic Triple-Negative Breast Carcinoma; Metastatic Urothelial Carcinoma; Skin Squamous Cell Carcinoma; Stage III Cervical Cancer AJCC v8; Stage III Hepatocellular Carcinoma AJCC v8; Stage III Lung Cancer AJCC v8; Stage III Renal Cell Cancer AJCC v8; Stage IIIA Cervical Cancer AJCC v8; Stage IIIA Hepatocellular Carcinoma AJCC v8; Stage IIIA Lung Cancer AJCC v8; Stage IIIA Uterine Corpus Cancer AJCC v8; Stage IIIB Cervical Cancer AJCC v8; Stage IIIB Hepatocellular Carcinoma AJCC v8; Stage IIIB Lung Cancer AJCC v8; Stage IIIB Uterine Corpus Cancer AJCC v8; Stage IIIC Lung Cancer AJCC v8; Stage IIIC Uterine Corpus Cancer AJCC v8; Stage IIIC1 Uterine Corpus Cancer AJCC v8; Stage IIIC2 Uterine Corpus Cancer AJCC v8; Stage IV Cervical Cancer AJCC v8; Stage IV Cutaneous Squamous Cell Carcinoma of the Head and Neck AJCC v8; Stage IV Hepatocellular Carcinoma AJCC v8; Stage IV Lung Cancer AJCC v8; Stage IV Renal Cell Cancer AJCC v8; Stage IVA Cervical Cancer AJCC v8; Stage IVA Hepatocellular Carcinoma AJCC v8; Stage IVA Lung Cancer AJCC v8; Stage IVA Uterine Corpus Cancer AJCC v8; Stage IVB Cervical Cancer AJCC v8; Stage IVB Hepatocellular Carcinoma AJCC v8; Stage IVB Lung Cancer AJCC v8; Stage IVB Uterine Corpus Cancer AJCC v8; Triple-Negative Breast Carcinoma; Unresectable Cervical Carcinoma; Unresectable Endometrial Carcinoma; Unresectable Gastric Adenocarcinoma; Unresectable Gastroesophageal Junction Adenocarcinoma; Unresectable Head and Neck Squamous Cell Carcinoma; Unresectable Hepatocellular Carcinoma; Unresectable Lung Non-Small Cell Carcinoma; Unresectable Malignant Solid Neoplasm; Unresectable Melanoma; Unresectable Merkel Cell Carcinoma; Unresectable Renal Cell Carcinoma; Unresectable Skin Squamous Cell Carcinoma; Unresectable Triple-Negative Breast Carcinoma; Unresectable Urothelial Carcinoma; Breast Adenocarcinoma; Stage III Uterine Corpus Carcinoma or Carcinosarcoma AJCC v8; Stage IV Uterine Corpus Carcinoma or Carcinosarcoma AJCC v8; Stage III Head and Neck Cutaneous Squamous Cell Carcinoma AJCC v8; Stage IV Head and Neck Cutaneous Squamous Cell Carcinoma AJCC v8,Cyclophosphamide; Neoantigen Peptide Vaccine; Pembrolizumab; Sargramostim; Biospecimen Collection; Biopsy; Computed Tomography; Magnetic Resonance Imaging,Incidence of adverse events (Phase I); Maximally tolerated dose (MTD) (Phase I); Dose LImiting Toxicity (DLT) (Phase I); Event free survival (EFS) (Phase II Cohort 3); Disease-free survival (DFS) (Phase II Cohort 4),United States,
NCT05317000,5-Azacytidine and/or Nivolumab in Resectable HPV-Associated HNSCC,RECRUITING,,PHASE2,50,ESTIMATED,RANDOMIZED,NONE,TREATMENT,2023-03-23,2028-06-30,2028-11-30,2022-04-07,2026-06-10,Barbara Burtness,National Institute of Dental and Craniofacial Research (NIDCR),Squamous Cell Carcinoma of Head and Neck,Combination 5-azacytidine and nivolumab; Nivolumab,Increased response for combination therapy compared with either monotherapy,United States,
NCT05415267,Immunosuppression and COVID-19 Boosters,RECRUITING,,PHASE3,320,ESTIMATED,RANDOMIZED,NONE,PREVENTION,2023-07-21,2026-12-31,2026-12-31,2022-06-13,2026-02-24,Kirby Institute,"Seqirus Pty Ltd, Australia; Medical Research Future Fund",COVID-19,diphtheria and tetanus toxoids (adsorbed) vaccine; COVID-19 vaccine,Anti-SARS-CoV-2 neutralising antibody (NAb) response over 12 months,Australia,
NCT05579275,Evaluate the Safety and Tolerability of JCXH-212 Monotherapy and Combined With Toripalimab in the Treatment of Malignant Solid Tumors,RECRUITING,,EARLY_PHASE1,24,ESTIMATED,NA,NONE,TREATMENT,2023-02-06,2026-04-28,2027-04-28,2022-10-13,2024-05-14,Peking University Cancer Hospital & Institute,,Malignant Solid Tumors,JCXH-212 Injection,dose-limiting toxicity (DLT); analysis of primary efficacy indicators,China,
NCT05631886,Combination of CAR-DC Vaccine and ICIs in Malignant Tumors,RECRUITING,,PHASE1,10,ESTIMATED,NA,NONE,TREATMENT,2023-07-04,2025-12-30,2026-12-30,2022-11-30,2023-08-28,Chinese PLA General Hospital,Zhejiang University,"Solid Tumor, Adult; Lymphoma; EphA2 Overexpression; TP53 R273H; TP53 R175H; TP53 R248Q; TP53 R249S",TP53-EphA-2-CAR-DC; Abraxane; Cyclophosphamide; anti-PD-1 antibody; Anti-CTLA4 Monoclonal Antibody,Incidence of treatment related adverse events (AEs); Clinical Response; Immune Response,China,
NCT05661188,Tiraglolumab Atezolizumab and Chemoradiotherapy in Localized Anal Carcinoma (TIRANUS),RECRUITING,,PHASE2,45,ESTIMATED,NA,NONE,TREATMENT,2023-02-14,2027-06,2028-06,2022-12-22,2023-09-13,Grupo Espanol Multidisciplinario del Cancer Digestivo,Hoffmann-La Roche,Squamous Cell Carcinoma of the Anal Canal,Atezolizumab plus Tiraglolumab,Clinical complete response (CCR); Clinical complete response (CCR) rate,Spain,
